A big fire broke out after the earthquake.,abable,0.880669074372208
A bus driver has a lot of responsibility.,bestion,0.588249333212266
A dog and a cat fight all the time.,idestion,0.318119192133408
A formal dinner at a restaurant is one option.,pramise,0.962448049455026
A long black snake has just bitten his pinky.,thuslay,0.653827051530968
A mechanic usually fixes my car.,excerce,0.440674632210176
A postman delivers the mail every day.,seasion,0.614145189739264
A sun burn can peel if it's bad enough.,accome,0.763780394152279
Animal diseases that can infect people may spread.,fask,0.84015256442326
Are you going to have a blue birthday cake?,bilethen,0.376137836534249
"As they approached the building, a large group of people came out.",quilm,0.563678963444902
Bats are active at night.,crace,0.570704944454204
Boys usually get into sports at a very early age.,tretatic,0.0388955932313719
"But, it was all water under the bridge.",corrover,0.503508793331651
Certainly she had been under a lot of stress.,amenvor,0.819148645142831
Children like to play computer games.,prognale,0.457368267509876
Did you eat my leftovers out of the fridge?,touplose,0.421465451331892
Do you want to come by for tea and cookies?,evernind,0.0511352270959183
Drivers must not drink alcohol and drive cars.,glank,0.781057502993457
"During the film on TV, the phone rang.",eareal,0.695030449068731
"During the film on TV, the phone rang.",toging,0.0279861765141946
Every part of every restaurant was a smoking section.,deposs,0.151176336470352
Everyone likes pepperoni pizza.,warten,0.511560009856329
Forest wildfires spoil natural beauty.,vold,0.68164421590046
Forest wildfires spoil natural beauty.,flastain,0.857677566459063
Go and grab some boots.,expation,0.989524457270356
Good teachers have to have patience with their students.,civing,0.382761663448414
Have you ever lived in a big city?,effire,0.456328462365321
Having a monkey is illegal.,journere,0.750258474167262
He decided to count all the people in the room.,analume,0.0727615514716341
He didn't know the car was coming.,onistion,0.411391987665198
He had a sore throat.,aiduch,0.972429473024239
He has a crush on Albert.,meduct,0.198989485807029
He hung a picture on the wall.,holopy,0.758372715309047
He is my elder brother.,comethen,0.0856025993409097
He is younger than I was in 2005.,samoon,0.896432010805976
He led them down the mountain.,dialade,0.893671477242865
He looked into the mirror and saw another person.,heak,0.755772452981377
He looked like a candy cane.,joucan,0.810693891684426
He made a smoothie for her.,copecies,0.598544304139752
He made his way through the forest.,purice,0.334217816686826
He made his way through the forest.,eleeze,0.375449494690128
He made his way through the forest.,chamale,0.184145379806355
He ran down the street and looked for another taxi.,wedulast,0.386701607273311
He ran into the house and went into his bedroom.,quird,0.854525433796608
He ran into the house and went into his bedroom.,respird,0.893210812517756
He recognized the building using a computer image.,nomigh,0.414880498148157
He returns every summer to visit his family.,buct,0.340259327818806
He returns every summer to visit his family.,ovesive,0.26432652397712
He said he always carried a weapon.,regrect,0.46220558523081
He started bashing on the guard and ran off.,thapt,0.400136622883078
He told us a very exciting adventure story.,leact,0.25923492491974
He told us jokes all night long.,bangure,0.533181773942977
He walked into the basement.,knize,0.135056781135016
He wants his money back.,wrieven,0.433194808498135
He wants his money back.,votter,0.781589857238481
He wants to have a pink bed this year.,slood,0.494764237791039
He was efficient in his work.,succal,0.578515710087649
He will do anything but work.,exhing,0.517418895730246
He's trying to protect everyone.,nomend,0.278759086895692
He's trying to protect everyone.,crenner,0.178059101506291
Her children are ill with coughs and colds.,assolue,0.863322382383251
Her children are ill with coughs and colds.,evertion,0.454881437669759
Her dress was blue with pink polka dots.,dathion,0.972999560454735
Her plan was to approach the building from the back parking lot.,seard,0.598037950449742
hey've got a bunk in the back room of the restaurant.,iringume,0.546441726179952
His chopsticks were made from wood.,searew,0.784936041094214
Homeschooling becomes more popular.,fifide,0.402879110085139
"Homeschooling, which involves educating children at home, becomes more popular.",wiplent,0.119028096882998
How did you know that?,shance,0.303742170865505
I am busy right now with my work.,dissis,0.157121801496931
